date,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,label
2015-07-20 00:00:00,28.9,22.1,22.061111111111106,4.5,3.6999999999999997,27.3,1.1999999999999993,-5.699999999999999,-6.799999999999997,11,26.5,34.6,4.850000000000136,0
2015-07-21 00:00:00,27.0,24.0,24.17083333333333,2.5,0.8,26.1,3.1999999999999993,-2.599999999999998,-3.0,10,24.0,29.8,4.249999999999886,0
2015-07-22 00:00:00,24.4,21.7,24.215277777777782,19.0,0.0,22.7,2.400000000000002,-1.8000000000000007,-2.6999999999999993,10,-99999,-99999,2.9166666666667425,0
2015-07-25 00:00:00,30.1,20.4,23.856944444444448,100.5,11.399999999999999,30.4,2.0,-8.7,-9.700000000000003,11,19.7,22.9,0.2333333333333485,0
2015-07-26 00:00:00,31.2,21.1,24.79861111111111,4.0,9.300000000000002,30.8,3.400000000000002,-10.100000000000001,-10.099999999999998,10,22.0,26.4,-1.4166666666667425,0
2015-07-27 00:00:00,27.7,24.5,25.237500000000004,0.0,4.2,27.9,3.5,-6.4999999999999964,-3.1999999999999993,7,21.6,25.8,-3.966666666666697,0
2015-07-28 00:00:00,26.6,21.9,24.798611111111107,15.5,2.1,25.3,2.3999999999999986,-5.099999999999998,-4.700000000000003,11,25.2,32.0,0.8999999999999773,0
2015-07-29 00:00:00,24.2,23.5,24.22222222222222,28.0,0.0,24.2,5.300000000000001,-3.200000000000003,-0.6999999999999993,10,25.5,32.6,1.1666666666666288,0
2015-07-30 00:00:00,26.8,23.2,23.987499999999997,32.5,2.2,27.1,4.399999999999999,-4.900000000000002,-3.6000000000000014,11,23.9,29.6,1.3499999999997954,0
2015-08-01 00:00:00,32.7,23.2,25.924999999999986,4.5,11.5,32.6,1.3999999999999986,-7.5,-9.500000000000004,10,23.7,29.3,0.05000000000006821,0
2015-08-02 00:00:00,32.5,20.7,26.4486111111111,0.0,10.5,31.3,2.3000000000000007,-9.299999999999997,-11.8,10,22.4,27.1,0.6000000000000227,0
2015-08-03 00:00:00,31.6,21.4,26.362499999999997,0.0,12.299999999999999,31.2,2.0000000000000036,-7.699999999999999,-10.200000000000003,10,19.3,22.4,1.0166666666666515,0
2015-08-04 00:00:00,30.9,20.0,25.91527777777779,0.0,11.8,30.7,2.0000000000000036,-8.2,-10.899999999999999,10,20.3,23.8,0.2666666666666515,0
2015-08-05 00:00:00,32.2,20.3,25.602777777777778,0.0,7.999999999999999,29.9,4.0,-8.7,-11.900000000000002,10,22.3,27.0,-2.0333333333334167,0
2015-08-06 00:00:00,30.2,20.1,25.18611111111111,0.0,7.400000000000001,29.7,4.699999999999999,-9.200000000000003,-10.099999999999998,14,21.1,25.0,-2.033333333333303,0
2015-08-07 00:00:00,30.6,19.5,25.05138888888889,0.0,10.6,30.7,5.199999999999999,-9.699999999999996,-11.100000000000001,10,22.8,27.8,0.25,0
2015-08-08 00:00:00,30.9,23.4,25.316666666666677,0.0,5.8,31.8,3.6999999999999993,-6.899999999999999,-7.5,15,22.5,27.2,2.6333333333333258,0
2015-08-11 00:00:00,30.9,20.2,25.04722222222222,5.5,8.8,30.5,5.299999999999997,-9.600000000000001,-10.7,12,19.7,22.9,-2.1166666666666742,0
2015-08-13 00:00:00,22.3,21.6,23.94444444444445,57.5,0.0,22.9,3.400000000000002,2.0,-0.6999999999999993,8,25.1,31.8,-5.016666666666765,0
2015-08-15 00:00:00,27.4,20.4,22.836111111111112,76.5,5.8999999999999995,26.5,4.0,-7.400000000000002,-7.0,10,21.0,24.9,0.3500000000001364,0
2015-08-16 00:00:00,28.7,19.5,23.362500000000004,19.5,8.2,29.2,3.5000000000000036,-9.399999999999999,-9.2,10,18.1,20.8,0.8999999999999773,0
2015-08-17 00:00:00,26.5,21.2,23.452777777777783,3.0,1.2999999999999998,26.2,4.600000000000001,-1.6000000000000014,-5.300000000000001,3,24.9,31.6,-1.283333333333303,0
2015-08-18 00:00:00,23.5,22.1,23.290277777777774,22.0,1.0,22.5,1.8999999999999986,-0.6000000000000014,-1.3999999999999986,3,23.6,29.0,0.7499999999998863,0
2015-08-19 00:00:00,25.2,19.4,22.929166666666674,22.5,3.9,23.9,3.900000000000002,-6.5,-5.800000000000001,7,22.5,27.3,3.283333333333303,0
